TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE
Tazacorte,38045,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,51.9
Tegueste,38046,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,63.1
Teguise,35024,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,64.8
Tejeda,35025,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,49.9
Telde,35026,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,63.9
Teror,35027,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,62
Tijarafe,38047,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,47.3
Tinajo,35029,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,65.4
Tuineje,35030,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,67.3
Tías,35028,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,58.3
Valle Gran Rey,38049,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,52.3
Vallehermoso,38050,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,52.2
Valleseco,35032,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,56.1
Valsequillo de Gran Canaria,35031,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,64.3
Valverde,38048,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,60.5
Vega de San Mateo,35033,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,60.4
Vilaflor de Chasna,38052,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,57.7
Villa de Mazo,38053,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.9
Yaiza,35034,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,65.6
